<http://vivoweb.org/ontology/core#Country>,213
<http://www.w3.org/2002/07/owl#AnnotationProperty>,205
<http://vivoweb.org/ontology/core#OrganizerRole>,201
<http://vivoweb.org/ontology/core#Student>,194
<http://vivoweb.org/ontology/core#GraduateStudent>,188
<http://vivoweb.org/ontology/core#Course>,188
<http://vivoweb.org/ontology/core#NewsRelease>,175
<http://vivoweb.org/ontology/core#OutreachProviderRole>,153
<http://vivoweb.org/ontology/core#Division>,146
<http://www.w3.org/2006/vcard/ns#Address>,139
<http://vivoweb.org/ontology/core#StateOrProvince>,109
<http://vivoweb.org/ontology/core#Project>,108
<http://vivoweb.org/ontology/core#Process>,108
<http://vivoweb.org/ontology/core#IssuedCredential>,105
<http://purl.org/ontology/bibo/Patent>,105
<http://vivoweb.org/ontology/core#ExtensionUnit>,86
<http://vivoweb.org/ontology/core#LeaderRole>,81
<http://vivoweb.org/ontology/core#Credential>,72
<http://aims.fao.org/aos/geopolitical.owl#group>,71
<http://vivoweb.org/ontology/core#County>,69
<http://purl.org/ontology/bibo/Workshop>,69
<http://www.w3.org/2002/07/owl#FunctionalProperty>,67
<http://vivoweb.org/ontology/core#MedicalResidency>,67
<http://vivoweb.org/ontology/core#Librarian>,66
<http://vivoweb.org/ontology/core#PostdoctoralTraining>,63
<http://vivoweb.org/ontology/core#Meeting>,63
<http://vivoweb.org/ontology/core#EventSeries>,60
<http://aims.fao.org/aos/geopolitical.owl#economic_region>,58
<http://vivoweb.org/ontology/core#Certification>,57
<http://purl.org/ontology/bibo/Series>,56
<http://aims.fao.org/aos/geopolitical.owl#geographical_region>,56
<http://aims.fao.org/aos/geopolitical.owl#non_self_governing>,52
<http://vivoweb.org/ontology/core#ServiceProvidingLaboratory>,50
<http://vivoweb.org/ontology/core#CoreLaboratory>,50
<http://purl.org/ontology/bibo/Proceedings>,48
<http://vivoweb.org/ontology/core#UndergraduateAdvisingRelationship>,47
<http://vivoweb.org/ontology/core#SeminarSeries>,45
<http://vivoweb.org/ontology/core#Newsletter>,44
<http://purl.org/ontology/bibo/Website>,43
<http://vivoweb.org/ontology/core#PostdocOrFellowAdvisingRelationship>,42
<http://vivoweb.org/ontology/core#Certificate>,41
<http://vivoweb.org/ontology/core#Library>,40
<http://purl.org/ontology/core#ConferencePaper>,40
<http://vivoweb.org/ontology/core#Team>,35
<http://vivo.ufl.edu/ontology/vivo-ufl/NonGovernmentalOrganization>,34
<http://vivoweb.org/ontology/core#TransnationalRegion>,33
<http://purl.org/ontology/bibo/Manuscript>,33
<http://vivoweb.org/ontology/core#StudentOrganization>,31
<http://vivoweb.org/ontology/core#Museum>,31
<http://vivoweb.org/ontology/core#LibrarianPosition>,31
<http://www.w3.org/2002/07/owl#Ontology>,30
<http://purl.obolibrary.org/obo/OBI_0000011>,29
<http://purl.obolibrary.org/obo/ERO_0000014>,29
<http://purl.org/ontology/bibo/DocumentStatus>,27
<http://www.w3.org/2002/07/owl#NamedIndividual>,26
<http://vivoweb.org/ontology/core#Internship>,26
<http://vivoweb.org/ontology/core#Licensure>,25
<http://vivo.ufl.edu/ontology/vivo-ufl/AdministrativeUnit>,25
<http://purl.org/ontology/bibo/Magazine>,24
<http://vivoweb.org/ontology/core#Blog>,23
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#Tab>,23
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#AutoLinkableTab>,23
<http://vivoweb.org/ontology/core#AttendeeRole>,22
<http://purl.org/ontology/bibo/Thesis>,22
<http://vivo.ufl.edu/ontology/vivo-ufl/GraduateAssistantPosition>,20
<http://purl.obolibrary.org/obo/ERO_0000005>,20
<http://vivoweb.org/ontology/core#PrimaryPosition>,19
<http://vivoweb.org/ontology/core#License>,17
<http://aims.fao.org/aos/geopolitical.owl#special_group>,17
<http://www.w3.org/2000/01/rdf-schema#Datatype>,16
<http://vivoweb.org/ontology/core#Consortium>,16
<http://vivo.ufl.edu/ontology/vivo-ufl/Deceased>,16
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#PropertyGroup>,16
<http://vivoweb.org/ontology/core#PrivateCompany>,14
<http://vivoweb.org/ontology/core#ClinicalRole>,14
<http://purl.obolibrary.org/obo/ERO_0000071>,14
<http://purl.obolibrary.org/obo/BFO_0000040>,14
<http://vivoweb.org/ontology/core#AcademicTerm>,13
<http://vivoweb.org/ontology/core#DateTimeValuePrecision>,12
<http://vivoweb.org/ontology/core#Address>,12
<http://purl.org/ontology/bibo/Performance>,11
<http://xmlns.com/foaf/0.1/Image>,10
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#PrimaryTabContent>,10
<http://purl.org/ontology/bibo/Image>,10
<http://vivoweb.org/ontology/core#FacultyMentoringRelationship>,9
<http://vivoweb.org/ontology/core#Campus>,9
<http://purl.org/ontology/bibo/Standard>,9
<http://www.w3.org/2002/07/owl#TransitiveProperty>,8
<http://vivoweb.org/ontology/core#Continent>,8
<http://vivo.ufl.edu/ontology/vivo-ufl/StudentAssistantPosition>,8
<http://vivo.ufl.edu/ontology/vivo-ufl/HousestaffPosition>,8
<http://vivo.ufl.edu/ontology/vivo-ufl/Abstract>,8
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#ClassGroup>,8
<http://www.w3.org/2002/07/owl#SymmetricProperty>,7
<http://vivoweb.org/ontology/core#BlogPosting>,7
<http://purl.org/ontology/bibo/Newspaper>,7
<http://purl.org/ontology/bibo/CollectedDocument>,7
<http://vivoweb.org/ontology/core#Exhibit>,6
<http://vivo.ufl.edu/ontology/vivo-ufl/ExtensionDocument>,6
<http://purl.org/ontology/bibo/EditedBook>,6
<http://purl.org/ontology/bibo/AudioVisualDocument>,6
<http://aims.fao.org/aos/geopolitical.owl#other>,6
<http://www.w3.org/2006/vcard/ns#Group>,5
<http://vivoweb.org/ontology/core#ResearchProposal>,5
<http://vivoweb.org/ontology/core#ConferenceSeries>,5
<http://vivoweb.org/ontology/core#Competition>,5
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#PrimaryTab>,5
<http://aims.fao.org/aos/geopolitical.owl#organization>,5
<http://xmlns.com/foaf/0.1/Document>,4
<http://vivoweb.org/ontology/core#Video>,4
<http://vivoweb.org/ontology/core#USPostalAddress>,4
<http://vivoweb.org/ontology/core#ResearchLaboratory>,4
<http://vivo.ufl.edu/ontology/vivo-ufl/VIVOOptIn>,4
<http://vivo.ufl.edu/individual/n200576>,4
<http://purl.org/ontology/bibo/Webpage>,4
<http://www.w3.org/2002/07/owl#InverseFunctionalProperty>,3
<http://vivoweb.org/ontology/core#WorkshopSeries>,3
<http://vivoweb.org/ontology/core#UndergraduateStudent>,3
<http://vivoweb.org/ontology/core#SubjectArea>,3
<http://vivoweb.org/ontology/core#Equipment>,3
<http://www.w3.org/2002/07/owl#ReflexiveProperty>,2
<http://www.w3.org/2002/07/owl#IrreflexiveProperty>,2
<http://www.w3.org/2002/07/owl#AsymmetricProperty>,2
<http://vivoweb.org/ontology/core#WorkingPaper>,2
<http://vivoweb.org/ontology/core#VocabularySourceReference>,2
<http://vivoweb.org/ontology/core#Catalog>,2
<http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFacultyPosition>,2
<http://vivo.ufl.edu/individual/n416303>,2
<http://vivo.ufl.edu/individual/n209715>,2
<http://vivo.ufl.edu/individual/n197688>,2
<http://vivo.ufl.edu/individual/n16425>,2
<http://purl.org/ontology/bibo/LegalDocument>,2
<http://purl.org/ontology/bibo/LegalCaseDocument>,2
<http://purl.org/ontology/bibo/Film>,2
<http://purl.obolibrary.org/obo/OBI_0000272>,2
<http://vivoweb.org/ontology/core#Service>,1
<http://vivoweb.org/ontology/core#F1000Link>,1
<http://vivoweb.org/ontology/core#Database>,1
<http://vivo.ufl.edu/individual/n84898>,1
<http://vivo.ufl.edu/individual/n83774>,1
<http://vivo.ufl.edu/individual/n808840>,1
<http://vivo.ufl.edu/individual/n76241>,1
<http://vivo.ufl.edu/individual/n581089>,1
<http://vivo.ufl.edu/individual/n497385>,1
<http://vivo.ufl.edu/individual/n479164>,1
<http://vivo.ufl.edu/individual/n39066>,1
<http://vivo.ufl.edu/individual/n290055>,1
<http://vivo.ufl.edu/individual/n255735>,1
<http://vivo.ufl.edu/individual/n239609>,1
<http://vivo.ufl.edu/individual/n216165>,1
<http://vivo.ufl.edu/individual/n169589>,1
<http://vivo.ufl.edu/individual/n153800>,1
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#SecondaryTab>,1
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#Portal>,1
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#MixedTab>,1
<http://vitro.mannlib.cornell.edu/ns/vitro/0.7#ManuallyLinkableTab>,1
<http://purl.org/spar/c4o/GlobalCitationCount>,1
<http://purl.obolibrary.org/obo/UO_0000280>,1
<http://purl.obolibrary.org/obo/IAO_0000109>,1
<http://purl.obolibrary.org/obo/IAO_0000032>,1
<http://purl.obolibrary.org/obo/IAO_0000027>,1
<http://purl.obolibrary.org/obo/IAO_0000009>,1
<http://purl.obolibrary.org/obo/IAO_0000003>,1
<http://purl.obolibrary.org/obo/ERO_0000071 >,1
<http://purl.obolibrary.org/obo/ERO_0000015>,1
<file:///home/bigmatt0211/jenatools/jena2tools/target/p>,1
